asof,collected_at_utc,ticker,target_end_date,eps_estimate,currency,proxy_weight
2026-09-11,2026-09-13T17:46:34+00:00,PANW,2028-07-31,2.21057,USD,0.0059034881615705
2026-09-11,2026-09-13T17:46:34+00:00,PLTR,2027-12-31,2.32597,USD,0.0087713288251381
2026-09-11,2026-09-13T17:46:34+00:00,SNDK,2028-06-30,264.72162,USD,0.0052199165942018
2026-09-11,2026-09-13T17:46:34+00:00,SPCX,2027-12-31,1.82175,USD,0.043505229496372
2026-09-11,2026-09-13T17:46:34+00:00,TSLA,2027-12-31,2.15858,USD,0.0315028821671461
2026-09-11,2026-09-13T17:46:34+00:00,TXN,2027-12-31,10.1005,USD,0.0053560317229412
2026-09-11,2026-09-13T17:46:34+00:00,WMT,2028-01-31,3.23048,USD,0.0185548462955517
2026-09-14,2026-09-15T15:08:00+00:00,AAPL,2027-09-30,9.57579,USD,0.1061712978055677
2026-09-14,2026-09-15T15:08:00+00:00,AMAT,2027-10-31,18.45479,USD,0.0073523563490769
2026-09-14,2026-09-15T15:08:00+00:00,AMD,2027-12-31,15.57069,USD,0.0181734821052245
2026-09-14,2026-09-15T15:08:00+00:00,AMGN,2027-12-31,24.40275,USD,0.0044918678505171
2026-09-14,2026-09-15T15:08:00+00:00,AMZN,2027-12-31,10.49168,USD,0.0592083445018571
2026-09-14,2026-09-15T15:08:00+00:00,ARM,2028-03-31,3.05476,USD,0.0058123677870892
2026-09-14,2026-09-15T15:08:00+00:00,ASML,2027-12-31,51.72248,EUR,0.0134518612907402
2026-09-14,2026-09-15T15:08:00+00:00,AVGO,2027-10-31,19.38391,USD,0.0361077572005656
2026-09-14,2026-09-15T15:08:00+00:00,COST,2027-08-31,22.67209,USD,0.0088933749451251
2026-09-14,2026-09-15T15:08:00+00:00,CRWD,2028-01-31,1.60591,USD,0.0053821095900132
2026-09-14,2026-09-15T15:08:00+00:00,CSCO,2028-07-31,5.60226,USD,0.0096405829117763
2026-09-14,2026-09-15T15:08:00+00:00,GOOG,2027-12-31,14.85683,USD,0.0920293841876589
2026-09-14,2026-09-15T15:08:00+00:00,GOOGL,2027-12-31,14.88243,USD,0.0929554810281104
2026-09-14,2026-09-15T15:08:00+00:00,INTC,2027-12-31,2.04479,USD,0.0114944731628214
2026-09-14,2026-09-15T15:08:00+00:00,KLAC,2028-06-30,6.70539,USD,0.0048032001496867
2026-09-14,2026-09-15T15:08:00+00:00,LIN,2027-12-31,18.14542,USD,0.0046950736792579
2026-09-14,2026-09-15T15:08:00+00:00,LRCX,2028-06-30,11.65184,USD,0.0073817697253177
2026-09-14,2026-09-15T15:08:00+00:00,META,2027-12-31,33.94283,USD,0.0377173228018614
2026-09-14,2026-09-15T15:08:00+00:00,MRVL,2028-01-31,6.7608,USD,0.0044498624120835
2026-09-14,2026-09-15T15:08:00+00:00,MSFT,2028-06-30,23.59268,USD,0.0820978416489016
2026-09-14,2026-09-15T15:08:00+00:00,MU,2027-08-31,156.06607,USD,0.0232399442527863
2026-09-14,2026-09-15T15:08:00+00:00,NFLX,2027-12-31,3.81626,USD,0.0071776670853489
2026-09-14,2026-09-15T15:08:00+00:00,NVDA,2028-01-31,15.61489,USD,0.1131727870318914
2026-09-14,2026-09-15T15:08:00+00:00,PANW,2028-07-31,2.21057,USD,0.0067623523182044
2026-09-14,2026-09-15T15:08:00+00:00,PLTR,2027-12-31,2.32299,USD,0.0090926223721601
2026-09-14,2026-09-15T15:08:00+00:00,SNDK,2028-06-30,264.72162,USD,0.0049791904112705
2026-09-14,2026-09-15T15:08:00+00:00,SPCX,2027-12-31,1.86275,USD,0.042202777858831
2026-09-14,2026-09-15T15:08:00+00:00,TSLA,2027-12-31,2.15858,USD,0.0313357653847232
2026-09-14,2026-09-15T15:08:00+00:00,TXN,2027-12-31,10.1005,USD,0.005335598716259
2026-09-14,2026-09-15T15:08:00+00:00,WMT,2028-01-31,3.23048,USD,0.0190548859176408
2026-09-15,2026-09-16T15:05:22+00:00,AAPL,2027-09-30,9.57579,USD,0.1066848915335915
2026-09-15,2026-09-16T15:05:22+00:00,AMAT,2027-10-31,18.45479,USD,0.0073597410348648
2026-09-15,2026-09-16T15:05:22+00:00,AMD,2027-12-31,15.57069,USD,0.018653080521539
2026-09-15,2026-09-16T15:05:22+00:00,AMGN,2027-12-31,24.40275,USD,0.0044539693995372
2026-09-15,2026-09-16T15:05:22+00:00,AMZN,2027-12-31,10.49168,USD,0.0584239536353602
2026-09-15,2026-09-16T15:05:22+00:00,ARM,2028-03-31,3.05476,USD,0.0058050350068213
2026-09-15,2026-09-16T15:05:22+00:00,ASML,2027-12-31,51.72248,EUR,0.0135731098507657
2026-09-15,2026-09-16T15:05:22+00:00,AVGO,2027-10-31,19.38391,USD,0.0358256206286781
2026-09-15,2026-09-16T15:05:22+00:00,COST,2027-08-31,22.67209,USD,0.0087327309936502
2026-09-15,2026-09-16T15:05:22+00:00,CRWD,2028-01-31,1.60591,USD,0.0054552011997713
2026-09-15,2026-09-16T15:05:22+00:00,CSCO,2028-07-31,5.60226,USD,0.0095297654967906
2026-09-15,2026-09-16T15:05:22+00:00,GOOG,2027-12-31,14.85683,USD,0.0919063242963513
2026-09-15,2026-09-16T15:05:22+00:00,GOOGL,2027-12-31,14.88243,USD,0.0928276833967337
2026-09-15,2026-09-16T15:05:22+00:00,INTC,2027-12-31,2.04479,USD,0.0116548509125606
2026-09-15,2026-09-16T15:05:22+00:00,KLAC,2028-06-30,6.70539,USD,0.0048920937232348
2026-09-15,2026-09-16T15:05:22+00:00,LIN,2027-12-31,18.14542,USD,0.0046858725826713
2026-09-15,2026-09-16T15:05:22+00:00,LRCX,2028-06-30,11.65184,USD,0.0075041175260879
2026-09-15,2026-09-16T15:05:22+00:00,META,2027-12-31,33.94283,USD,0.0378983541727845
2026-09-15,2026-09-16T15:05:22+00:00,MRVL,2028-01-31,6.7608,USD,0.0045132529653981
2026-09-15,2026-09-16T15:05:22+00:00,MSFT,2028-06-30,23.59268,USD,0.0802163589676678
2026-09-15,2026-09-16T15:05:22+00:00,MU,2027-08-31,156.06607,USD,0.023054597011518
2026-09-15,2026-09-16T15:05:22+00:00,NFLX,2027-12-31,3.81626,USD,0.0070600450912686
2026-09-15,2026-09-16T15:05:22+00:00,NVDA,2028-01-31,15.61489,USD,0.1141207238238462
2026-09-15,2026-09-16T15:05:22+00:00,PANW,2028-07-31,2.21057,USD,0.0068099499615521
2026-09-15,2026-09-16T15:05:22+00:00,PLTR,2027-12-31,2.32299,USD,0.0090469613371796
2026-09-15,2026-09-16T15:05:22+00:00,SNDK,2028-06-30,264.72162,USD,0.0049400525804766
2026-09-15,2026-09-16T15:05:22+00:00,SPCX,2027-12-31,1.86275,USD,0.0438396767817475
2026-09-15,2026-09-16T15:05:22+00:00,TSLA,2027-12-31,2.15858,USD,0.031539123656065
2026-09-15,2026-09-16T15:05:22+00:00,TXN,2027-12-31,10.1005,USD,0.0052915033908874
2026-09-15,2026-09-16T15:05:22+00:00,WMT,2028-01-31,3.23048,USD,0.0187972896736469
2026-09-16,2026-09-17T15:08:16+00:00,AAPL,2027-09-30,9.57579,USD,0.1057753088636166
2026-09-16,2026-09-17T15:08:16+00:00,AMAT,2027-10-31,18.45479,USD,0.0071839333477802
2026-09-16,2026-09-17T15:08:16+00:00,AMD,2027-12-31,15.57069,USD,0.0193664939015978
2026-09-16,2026-09-17T15:08:16+00:00,AMGN,2027-12-31,24.40275,USD,0.00447626216902
2026-09-16,2026-09-17T15:08:16+00:00,AMZN,2027-12-31,10.49168,USD,0.059085474153276
2026-09-16,2026-09-17T15:08:16+00:00,ARM,2028-03-31,3.05476,USD,0.0060517805128219
2026-09-16,2026-09-17T15:08:16+00:00,ASML,2027-12-31,51.72248,EUR,0.0136051586045906
2026-09-16,2026-09-17T15:08:16+00:00,AVGO,2027-10-31,19.38391,USD,0.0363524816451615
2026-09-16,2026-09-17T15:08:16+00:00,COST,2027-08-31,22.67209,USD,0.0085934460535254
